station address,geographic coordinates
Degna, POINT(45.9340 10.3436)
Prestine, POINT(45.9344 10.2983)
Niardo, POINT( 45.9767 10.3329)
Berzo Inferiore, POINT(45.9299 10.2718)
Esine, POINT(45.9282 10.2523)
Plemo, POINT(45.9158 10.2368)
Montecchio, POINT(45.8807 10.1856)
Gianico, POINT(45.8672 10.1678)
Artogne, POINT(45.8482 10.1599)
SS, POINT(45.8496 10.1400)
Solato, POINT(45.8377 10.1479)
Vissone, POINT(45.8333 10.1642)
Predazzole, POINT( 45.8286 10.1701)
Montecampione, POINT(45.8286 10.1886)
Govine, POINT(45.7977 10.1039)
Toline, POINT(45.7873 10.0893)
Vello, POINT(45.7543 10.0831)
Marone, POINT(45.7375 10.0935)
Vesto, POINT(45.7279 10.1012)
Sale Marasino, POINT(45.7158 10.1102)
Presso, POINT(45.7114 10.1224)
Marasino, POINT(45.7053 10.1166)
Via Provinciale, POINT( 45.7010 10.1085)
Maspiano, POINT(45.6950 10.1125)
Pilzone, POINT(45.6761 10.0899)
Covelano, POINT(45.6619 10.0558)
Deviante d'iseo, POINT(45.6560 10.0628)
Polaveno, POINT(45.6614 10.1220)
Gombio, POINT(45.6696 10.1623)
Ponte Zanano, POINT(45.6759 10.1854)
Gardone Valtrompia, POINT(45.6899 10.1845)
Via Enrico Fermi, POINT(45.7011 10.1989)
Tavernone sul Mella, POINT(45.7472 10.2401)
Marmentino, POINT(45.7546 10.2890)
Lodrino, POINT(45.7187 10.2780)
Casto, POINT(45.6974 10.3211)
Pertica Alta, POINT(45.7433 10.3453)
Partica Bassa, POINT(45.7467 10.4095)
Nozza, POINT(45.6979 10.3886)
Vestone, POINT(45.7100 10.4044)
Levrage, POINT(45.7364 10.3862)
Belprato, POINT(45.7242 10.3713)
Bisenzio, POINT(45.7182 10.4149)
Viale, POINT(45.7179 10.4253)
Lavenone, POINT(45.7352 10.4531)
Anfo, POINT(45.7789 10.5029)
Ponte caffaro, POINT(45.8283 10.5348)
Bagolino, POINT(45.8247 10.4679)
Agnosine, POINT(45.6503 10.3477)
Odolo, POINT(45.6474 10.3896)
Barghe, POINT(45.6790 10.4106)
Preseglie, POINT(45.6772 10.4129)
Sabbio chiese, POINT(45.6515 10.4287)
Carpaneda, POINT(45.6469 10.4723)
Via ardiccio, POINT(45.6428 10.5073)
Collio, POINT(45.7524 10.3947)
Via Asilo, POINT(45.6370 10.5012)
Roè, POINT(45.6253 10.5001)
Gazzane, POINT(45.6220 10.5044)
Novagli, POINT(45.6197 10.4875)
Rucco, POINT(45.6177 10.5013)
Liano, POINT(45.6195 10.4922)
Volciano, POINT(45.6152 10.4954)
